inn,name,site,support_team_size_min,support_evidence,evidence_url,evidence_type,source,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,support_email,support_url,kb_url,normalized_name,company_site_vacancies,job_titles_found,jobs_url,shift_work_mentioned,parsed_successfully
3410000183,Hoff,https://hoff.ru/?ysclid=mjbh9s89b450306065,18,"Уровень B: 51 вакансий поддержки, разные роли (оператор, консультант) (несколько разных ролей и специализаций)",https://hh.ru/employer/158720,vacancies_estimate,jobs_analysis,false,false,false,false,false,false,false,,nan,nan,hoff,nan,nan,nan,nan,nan
6671111140,NAUMEN,https://www.naumen.ru/,18,"Уровень B: 3 вакансий поддержки, разные роли (менеджер, техподдержка), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/search/vacancy?text=NAUMEN+поддержка,vacancies_estimate,jobs_analysis,true,false,false,true,true,false,true,support@naumen.ru,https://www.naumen.ru/support/,nan,naumen,nan,nan,nan,nan,nan
7728178835,АБСОЛЮТ СТРАХОВАНИЕ,https://www.absolutins.ru/,18,"Уровень B: 3 вакансий поддержки, разные роли (чат_поддержка, техподдержка, консультант), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/search/vacancy?text=АБСОЛЮТ+СТРАХОВАНИЕ+поддержка,vacancies_estimate,jobs_analysis,false,true,false,true,true,true,true,,https://yunacenter.ru/help/,https://www.absolutins.ru/faq/,абсолют страхование,nan,nan,nan,nan,nan
9710138465,АВИТО,https://www.avito.ru/,18,"Уровень B: 102 вакансий поддержки, разные роли (менеджер, чат_поддержка, оператор), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/84585,vacancies_estimate,jobs_analysis,false,false,true,true,true,true,false,,https://www.avito.ru//support.avito.ru,nan,авито,nan,nan,nan,nan,nan
2721184904,Авантелеком,https://avantelecom.ru/,18,"Уровень B: 2 вакансии поддержки, разные роли (менеджер, техподдержка) (несколько разных ролей и специализаций)",https://hh.ru/search/vacancy?text=Авантелеком+поддержка,vacancies_estimate,jobs_analysis,false,false,false,true,true,true,true,,nan,https://avantelecom.ru/faq,авантелеком,nan,nan,nan,nan,nan
7728168971,Альфа-Банк,https://alfabank.ru/,18,"Уровень B: 12 вакансий поддержки, разные роли (менеджер, чат_поддержка, техподдержка), сменная работа, многоуровневая поддержка (L1/L2), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/80,vacancies_estimate,jobs_analysis,false,false,false,false,false,false,false,,nan,nan,альфа-банк,nan,nan,nan,nan,nan
7702070139,БАНК ВТБ,https://www.vtb.ru/,18,"Уровень B: 9 вакансий поддержки, разные роли (менеджер, чат_поддержка, оператор), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/4181,vacancies_estimate,jobs_analysis,false,true,false,true,true,true,false,,https://www.vtb.ru/personal/investicii/help/,nan,банк втб,nan,nan,nan,nan,nan
7706196340,БАНК НОВИКОМ,https://novikom.ru/,18,"Уровень B: 6 вакансий поддержки, разные роли (чат_поддержка, оператор, техподдержка), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/10227,vacancies_estimate,jobs_analysis,false,true,false,true,true,true,true,,https://novikom.ru/support/,https://novikom.ru/support/faq/,банк новиком,nan,nan,nan,nan,nan
7744000912,БАНК ПСБ,https://www.psbank.ru/,18,"Уровень B: 6 вакансий поддержки, разные роли (менеджер, чат_поддержка, консультант), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/6591,vacancies_estimate,jobs_analysis,false,true,false,true,true,true,true,,nan,https://www.psbank.ru/bank/faq,банк псб,nan,nan,nan,nan,nan
6623000680,ЕВРАЗ,https://www.evraz.com/ru/,18,"Уровень B: 4 вакансий поддержки, разные роли (оператор, консультант) (несколько разных ролей и специализаций)",https://hh.ru/search/vacancy?text=ЕВРАЗ+поддержка,vacancies_estimate,jobs_analysis,false,false,false,false,false,false,false,,nan,nan,евраз,nan,nan,nan,nan,nan
9728073836,МКК ФИНАФОР,https://nadodeneg.ru/,18,"Уровень B: 9 вакансий поддержки, разные роли (менеджер, чат_поддержка, оператор), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/11587041,vacancies_estimate,jobs_analysis,false,false,false,true,true,true,true,,nan,https://nadodeneg.ru/faq/?tab=1,финафор,nan,nan,nan,nan,nan
7736520080,МОСЭНЕРГОСБЫТ,https://www.mosenergosbyt.ru/,18,"Уровень B: 5 вакансий поддержки, разные роли (менеджер, оператор) (несколько разных ролей и специализаций)",https://hh.ru/employer/3959394,vacancies_estimate,jobs_analysis,false,false,false,true,true,true,false,,nan,nan,мосэнергосбыт,nan,nan,nan,nan,nan
7702038150,Московский метрополитен,https://mosmetro.ru/,18,"Уровень B: 8 вакансий поддержки, разные роли (оператор, техподдержка), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/869045,vacancies_estimate,jobs_analysis,false,false,false,true,true,true,false,,nan,https://mosmetro.ru/passengers/faq,московский метрополитен,nan,nan,nan,nan,nan
7729050901,РАНХиГС,https://www.ranepa.ru/,18,"Уровень B: 4 вакансий поддержки, разные роли (менеджер, техподдержка) (несколько разных ролей и специализаций)",https://hh.ru/search/vacancy?text=РАНХиГС+поддержка,vacancies_estimate,jobs_analysis,false,true,false,true,false,true,false,,nan,nan,ранхигс,nan,nan,nan,nan,nan
7707067683,РОСГОССТРАХ,https://www.rgs.ru/,18,"Уровень B: 21 вакансий поддержки, разные роли (чат_поддержка, оператор, техподдержка), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/2245,vacancies_estimate,jobs_analysis,false,true,false,true,true,true,true,,https://www.rgs.ru/support,nan,росгосстрах,nan,nan,nan,nan,nan
7707049388,РОСТЕЛЕКОМ,https://www.company.rt.ru/,18,"Уровень B: 42 вакансий поддержки, разные роли (чат_поддержка, оператор, техподдержка), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/2748,vacancies_estimate,jobs_analysis,false,false,false,true,false,false,false,,nan,nan,ростелеком,nan,nan,nan,nan,nan
7736035485,СОГАЗ,https://www.sogaz.ru/,18,"Уровень B: 17 вакансий поддержки, разные роли (чат_поддержка, оператор, консультант), сменная работа, разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/955,vacancies_estimate,jobs_analysis,false,false,false,true,false,true,true,,nan,nan,согаз,nan,nan,nan,nan,nan
7813647735,Синергия,https://synergy.ru/,18,"Уровень B: 25 вакансий поддержки, разные роли (менеджер, оператор, консультант), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/127256,vacancies_estimate,jobs_analysis,false,true,false,true,true,true,false,,https://synergy.ru/_nuxt/mhelpchoosecard.b_2usj7o.css,https://synergy.ru/_nuxt/sprices.bbmfaq9m.css,синергия,nan,nan,nan,nan,nan
2315126160,Т-Банк,https://www.tbank.ru/,18,"Уровень B: 15 вакансий поддержки, разные роли (оператор, консультант), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/78638,vacancies_estimate,jobs_analysis,false,false,false,true,false,true,true,,nan,nan,т-банк,nan,nan,nan,nan,nan
