inn,name,site,support_team_size_min,support_evidence,evidence_url,evidence_type,source,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,support_email,support_url,kb_url,normalized_name,company_site_vacancies,job_titles_found,jobs_url,shift_work_mentioned,parsed_successfully
3410000183,Hoff,https://hoff.ru/?ysclid=mjbh9s89b450306065,18,"Уровень B: 51 вакансий поддержки, разные роли (оператор, консультант) (несколько разных ролей и специализаций)",https://hh.ru/employer/158720,vacancies_estimate,jobs_analysis,false,false,false,false,false,false,false,,,,hoff,,,,,
6671111140,NAUMEN,https://www.naumen.ru/,18,"Уровень B: 3 вакансий поддержки, разные роли (менеджер, техподдержка), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/search/vacancy?text=NAUMEN+поддержка,vacancies_estimate,jobs_analysis,true,false,false,true,true,false,true,support@naumen.ru,https://www.naumen.ru/support/,,naumen,,,,,
7728178835,АБСОЛЮТ СТРАХОВАНИЕ,https://www.absolutins.ru/,18,"Уровень B: 3 вакансий поддержки, разные роли (чат_поддержка, техподдержка, консультант), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/search/vacancy?text=АБСОЛЮТ+СТРАХОВАНИЕ+поддержка,vacancies_estimate,jobs_analysis,false,true,false,true,true,true,true,,https://yunacenter.ru/help/,https://www.absolutins.ru/faq/,абсолют страхование,,,,,
9710138465,АВИТО,https://www.avito.ru/,18,"Уровень B: 102 вакансий поддержки, разные роли (менеджер, чат_поддержка, оператор), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/84585,vacancies_estimate,jobs_analysis,false,false,true,true,true,true,false,,https://www.avito.ru//support.avito.ru,,авито,,,,,
2721184904,Авантелеком,https://avantelecom.ru/,18,"Уровень B: 2 вакансии поддержки, разные роли (менеджер, техподдержка) (несколько разных ролей и специализаций)",https://hh.ru/search/vacancy?text=Авантелеком+поддержка,vacancies_estimate,jobs_analysis,false,false,false,true,true,true,true,,,https://avantelecom.ru/faq,авантелеком,,,,,
7728168971,Альфа-Банк,https://alfabank.ru/,18,"Уровень B: 12 вакансий поддержки, разные роли (менеджер, чат_поддержка, техподдержка), сменная работа, многоуровневая поддержка (L1/L2), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/80,vacancies_estimate,jobs_analysis,false,false,false,false,false,false,false,,,,альфа-банк,,,,,
7702070139,БАНК ВТБ,https://www.vtb.ru/,18,"Уровень B: 9 вакансий поддержки, разные роли (менеджер, чат_поддержка, оператор), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/4181,vacancies_estimate,jobs_analysis,false,true,false,true,true,true,false,,https://www.vtb.ru/personal/investicii/help/,,банк втб,,,,,
7706196340,БАНК НОВИКОМ,https://novikom.ru/,18,"Уровень B: 6 вакансий поддержки, разные роли (чат_поддержка, оператор, техподдержка), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/10227,vacancies_estimate,jobs_analysis,false,true,false,true,true,true,true,,https://novikom.ru/support/,https://novikom.ru/support/faq/,банк новиком,,,,,
7744000912,БАНК ПСБ,https://www.psbank.ru/,18,"Уровень B: 6 вакансий поддержки, разные роли (менеджер, чат_поддержка, консультант), разные каналы поддержки (чат+телефон) (несколько разных ролей и специализаций)",https://hh.ru/employer/6591,vacancies_estimate,jobs_analysis,false,true,false,true,true,true,true,,,https://www.psbank.ru/bank/faq,банк псб,,,,,
273947263,Биосфера,https://biosfera.su/stocks/,18,"Уровень B: 13 вакансий поддержки, разные роли (менеджер, оператор) (несколько разных ролей и специализаций)",https://hh.ru/employer/5435527,vacancies_estimate,jobs_analysis,false,true,true,false,true,false,false,,,,биосфера,,,,,
